Seniority;Status;Category;FirstDivision;SecondDivision;RFEF1;RFEF2;RFEF3;Preferent;Regional1;Regional2;Regional3;Junior;Male;Sex;YearBorn;Age;DateBorn;MadridBorn;PlaceBorn;Spanish;PostCode;City;MainRef;AssRef;Role;textCategory;MadridOffice;AlcalaOffice;AranjuezOffice;Office;;Weight;Height;Profession;StartYear;StartDate;StartAge;DropYear;DropDate;DropAge;talent
3;1;8;0;0;0;0;0;0;0;1;0;0;1;MASCULINO;1999;22;12/10/1999;1;ALCORCON;1;28922;Alcorcón;1;0;ARBITRO;SEGUNDA REGIONAL;1;0;0;MADRID;;61;170;;2018;14/09/2018;19;;;;0
23;0;8;0;0;0;0;0;0;0;1;0;0;1;MASCULINO;1977;44;16/11/1977;1;MADRID;1;28320;Pinto;1;0;ARBITRO;SEGUNDA REGIONAL;1;0;0;MADRID;;;;PROFESOR UNIVERSIDAD;1998;01/02/1998;21;2014;30/06/2014;37;0
6;0;10;0;0;0;0;0;0;0;0;0;1;1;MASCULINO;1999;22;24/10/1999;1;MADRID;1;28942;Fuenlabrada;1;0;ARBITRO;JUVENIL;1;0;0;MADRID;;;;;2015;27/01/2015;16;2017;30/06/2017;18;0
3;1;8;0;0;0;0;0;0;0;1;0;0;1;MASCULINO;1996;25;09/01/1996;1;PARLA;1;28982;Parla;1;0;ARBITRO;SEGUNDA REGIONAL;0;0;1;ARANJUEZ;;;;Estudiante;2018;16/02/2018;22;;;;1
1;1;10;0;0;0;0;0;0;0;0;0;1;1;MASCULINO;2001;20;27/03/2001;1;EL BOALO;1;28413;Boalo (El);1;0;ARBITRO;JUVENIL;1;0;0;MADRID;;72.5;182;;2020;03/01/2020;19;;;;0
23;0;10;0;0;0;0;0;0;0;0;0;1;1;MASCULINO;1971;50;13/04/1971;1;MADRID;1;28100;Alcobendas;1;0;ARBITRO;JUVENIL;1;0;0;MADRID;;;;PSICOLOGO;1998;25/06/1998;27;2014;30/06/2014;43;0
16;0;6;0;0;0;0;0;1;0;0;0;0;1;MASCULINO;1985;36;15/02/1985;1;MADRID;1;28350;Ciempozuelos;1;0;ARBITRO;PREFERENTE;0;0;1;ARANJUEZ;;;;ADMINISTRATIVO WINTERTHUR;2005;07/12/2005;20;2014;30/06/2014;29;0
2;1;8;0;0;0;0;0;0;0;1;0;0;1;MASCULINO;2000;21;26/12/2000;1;ALCORCON;1;28924;Alcorcón;1;0;ARBITRO;SEGUNDA REGIONAL;1;0;0;MADRID;;;;;2019;24/01/2019;19;;;;0
2;1;10;0;0;0;0;0;0;0;0;0;1;1;MASCULINO;2002;19;26/09/2002;1;MADRID;1;28924;Alcorcón;1;0;ARBITRO;JUVENIL;1;0;0;MADRID;;89;188;;2019;09/07/2019;17;;;;0
3;1;10;0;0;0;0;0;0;0;0;0;1;1;MASCULINO;2003;18;01/05/2003;0;MARACAY;1;28320;Pinto;1;0;ARBITRO;JUVENIL;0;0;1;ARANJUEZ;;64;179;;2018;15/11/2018;15;;;;0
